,Gender,Marital_Status,Number_of_Dependents,Education,Loan_Status,Annual_Income,Credit_Score,Loan_Amount,Term,Property_Area,Loan_Approval
0,Female,No,2,Graduate,No,4809.0,3329.0,3650.0,180,Rural,Yes
1,Female,Yes,1,Graduate,No,3358.0,2627.0,6680.0,360,Rural,No
2,Female,Yes,1,Graduate,No,9873.0,1649.0,5021.0,360,Semiurban,No
3,Male,No,0,Graduate,Yes,11665.0,4378.0,8366.0,360,Rural,Yes
4,Female,No,1,Graduate,No,5890.0,1523.0,8741.0,180,Urban,Yes
5,Female,Yes,3,Graduate,No,11757.0,4412.0,2148.0,360,Semiurban,No
6,Male,No,3,Graduate,Yes,11375.0,693.0,241.0,180,Urban,No
7,Female,No,2,Not Graduate,Yes,9673.0,3291.0,5021.0,180,Rural,No
8,Male,Yes,0,Graduate,No,7148.0,4049.0,8983.0,360,Urban,No
9,Male,No,2,Not Graduate,Yes,6810.0,1887.0,1176.0,180,Semiurban,Yes
10,Male,Yes,1,Graduate,No,7912.0,1531.0,9212.0,360,Semiurban,Yes
11,Female,No,2,Graduate,Yes,3884.0,2627.0,5021.0,180,Rural,No
12,Male,No,3,Graduate,No,9436.0,4591.0,4528.0,180,Urban,No
13,Female,No,2,Not Graduate,No,2078.0,3465.0,5021.0,360,Rural,No
14,Female,Yes,0,Not Graduate,No,6669.0,3729.0,7786.0,360,Urban,No
15,Female,No,2,Graduate,Yes,6669.0,2627.0,2191.0,180,Semiurban,No
16,Female,No,3,Not Graduate,Yes,3989.0,4379.0,8770.0,360,Rural,No
17,Male,No,3,Graduate,No,10508.0,2627.0,8169.0,360,Urban,Yes
18,Male,No,3,Graduate,Yes,3187.0,819.0,6212.0,180,Rural,Yes
19,Female,Yes,3,Graduate,Yes,8563.0,4053.0,3237.0,180,Urban,No
20,Female,Yes,1,Graduate,No,8238.0,2524.0,8052.0,180,Urban,Yes
21,Male,Yes,3,Graduate,Yes,11833.0,2252.0,1089.0,360,Urban,Yes
22,Male,No,2,Graduate,No,7385.0,4927.0,6858.0,180,Semiurban,Yes
23,Female,No,2,Graduate,Yes,10200.0,3584.0,303.0,360,Semiurban,No
24,Male,Yes,0,Not Graduate,Yes,2248.0,2951.0,8037.0,360,Rural,Yes
25,Male,Yes,1,Graduate,No,8541.0,1631.0,5335.0,180,Semiurban,No
26,Female,Yes,1,Not Graduate,No,3883.0,4228.0,7334.0,180,Semiurban,Yes
27,Male,No,1,Graduate,No,10097.0,2375.0,4156.0,360,Urban,No
28,Female,Yes,3,Not Graduate,Yes,8401.0,1744.0,934.0,180,Rural,Yes
29,Male,Yes,0,Graduate,No,6669.0,4805.0,4074.0,180,Rural,No
30,Male,No,1,Not Graduate,Yes,6669.0,1930.0,9313.0,360,Urban,Yes
31,Male,No,1,Graduate,No,3581.0,672.0,3853.0,360,Urban,Yes
32,Female,Yes,1,Not Graduate,Yes,10375.0,2627.0,1692.0,180,Semiurban,Yes
33,Male,Yes,2,Not Graduate,No,6669.0,2627.0,4710.0,180,Rural,No
34,Male,Yes,2,Graduate,No,6669.0,4475.0,4403.0,360,Semiurban,Yes
35,Female,Yes,0,Not Graduate,Yes,6669.0,1955.0,9990.0,180,Semiurban,Yes
36,Female,Yes,2,Graduate,No,4371.0,1990.0,4296.0,360,Urban,Yes
37,Male,No,3,Graduate,No,8907.0,2316.0,9931.0,360,Urban,No
38,Male,Yes,0,Graduate,No,6669.0,4127.0,3430.0,360,Semiurban,Yes
39,Female,No,2,Graduate,No,2722.0,1479.0,4707.0,360,Rural,Yes
40,Female,Yes,0,Graduate,No,7579.0,2817.0,7850.0,360,Urban,Yes
41,Female,No,3,Graduate,Yes,4156.0,4680.0,6372.0,180,Urban,No
42,Female,Yes,0,Graduate,No,11789.0,3768.0,5021.0,180,Rural,No
43,Male,No,3,Not Graduate,No,6424.0,1188.0,9194.0,180,Semiurban,Yes
44,Male,Yes,2,Not Graduate,No,10749.0,2627.0,4974.0,360,Rural,Yes
45,Female,Yes,3,Not Graduate,Yes,9959.0,4436.0,8737.0,360,Urban,Yes
46,Female,Yes,3,Graduate,No,7569.0,2627.0,7434.0,360,Semiurban,No
47,Female,No,2,Graduate,Yes,7334.0,3266.0,5332.0,360,Urban,Yes
48,Female,No,3,Not Graduate,No,6020.0,4934.0,6890.0,360,Semiurban,Yes
49,Female,Yes,0,Not Graduate,Yes,6512.0,1065.0,280.0,180,Rural,No
50,Male,Yes,1,Graduate,No,9669.0,2949.0,455.0,180,Urban,Yes
51,Female,Yes,3,Not Graduate,No,6669.0,2370.0,5294.0,360,Urban,Yes
52,Male,Yes,0,Not Graduate,Yes,4929.0,2779.0,5076.0,180,Semiurban,No
53,Female,No,3,Graduate,Yes,2150.0,2120.0,1238.0,180,Semiurban,No
54,Female,Yes,0,Not Graduate,Yes,8274.0,4359.0,6092.0,180,Rural,Yes
55,Male,Yes,3,Graduate,Yes,11363.0,1386.0,8051.0,360,Rural,No
56,Male,No,1,Graduate,Yes,6669.0,3469.0,7074.0,180,Semiurban,Yes
57,Male,No,1,Graduate,No,11892.0,2115.0,282.0,360,Semiurban,No
58,Female,No,3,Not Graduate,Yes,9712.0,3116.0,3190.0,180,Semiurban,Yes
59,Female,No,2,Not Graduate,No,9153.0,3694.0,6335.0,360,Urban,No
60,Female,No,2,Graduate,No,6669.0,4953.0,5734.0,360,Semiurban,Yes
61,Female,No,3,Not Graduate,Yes,8784.0,3518.0,5340.0,360,Semiurban,Yes
